id,datetime,latitude,longitude,magnitude,location,location-broad
10088,12/07/2022 19:04,38.712,-116.1168,10,Nevada,North America
10089,12/07/2022 19:08,38.6275,-116.1652,8,Nevada,North America
10090,12/07/2022 19:23,18.0045,-66.84666667,6,Puerto Rico,Central America
10091,12/07/2022 19:51,19.397,-155.263,32,Hawaii,North America
10092,12/07/2022 19:57,40.5388333,-124.0773333,6,California,North America
10093,12/07/2022 20:04,18.978,-155.4336667,10,Hawaii,North America
10094,12/07/2022 20:39,29.00115967,-97.5658318,14,Texas,North America
10095,12/07/2022 20:39,19.15083313,-155.5021667,9,Hawaii,North America
10096,12/07/2022 21:04,18.5007,146.5041,40,Northern Mariana Islands,Oceania
10097,12/07/2022 21:19,61.3672,-146.5698,6,Alaska,North America
10098,12/07/2022 21:43,33.9838333,-117.1165,5,California,North America
10099,12/07/2022 22:17,18.83233333,-67.32983333,13,Puerto Rico,Central America
10100,12/07/2022 22:20,51.8426,178.2585,30,Alaska,North America
10101,12/07/2022 22:30,19.16516685,-155.466507,9,Hawaii,North America
10102,12/07/2022 22:39,19.1578331,-155.4643402,7,Hawaii,North America
10103,12/07/2022 22:48,19.16866667,-155.469,22,Hawaii,North America
10104,12/07/2022 22:50,14.157,-92.5466,47,Mexico,North America
10105,12/07/2022 22:56,14.0654,-92.6136,40,Mexico,North America
10106,12/07/2022 23:23,17.94883333,-67.09633333,8,Puerto Rico,Central America
10107,12/07/2022 23:24,40.8801667,-111.5891667,9,Utah,North America
10108,12/07/2022 23:36,-16.7793,-71.2137,70,Peru,South America
10109,12/07/2022 23:39,56.9425,-149.7854,13,Alaska,North America
10110,13/07/2022 00:08,-16.8195,-71.4438,42,Peru,South America
10111,13/07/2022 00:20,38.7319,-116.1203,32,Nevada,North America
10112,13/07/2022 01:00,52.0645,-170.8775,28,Alaska,North America
10113,13/07/2022 01:19,18.6269,145.4068,36,Northern Mariana Islands,Oceania
